id_venda,data,loja,cidade,categoria,produto,preco_unitario,quantidade,desconto_tipo,metodo_pagamento,receita_total,custo_total,margem
1100,2025-01-02,Loja Centro,São Paulo,Mercearia,Arroz 5kg,22.9,3,Nenhuma,Crédito,68.7,24.0,44.7
1101,2025-01-02,Loja Sul,Rio de Janeiro,Higiene e Limpeza,Desinfetante 2L,8.9,2,Nenhuma,Dinheiro,17.8,5.0,12.8
1102,2025-01-02,Loja Centro,São Paulo,Hortifruti,Batata kg,5.22,1,Compre Junto,Pix,5.22,1.3,3.92
1103,2025-01-02,Loja Norte,São Paulo,Hortifruti,Maçã Gala kg,7.5,2,Compre Junto,Dinheiro,15.0,5.6,9.4
1104,2025-01-02,Loja Oeste,Curitiba,Higiene e Limpeza,Desinfetante 2L,8.01,1,10%OFF,Dinheiro,8.01,2.5,5.51
1105,2025-01-02,Loja Sul,Rio de Janeiro,Frios e Laticínios,Leite 1L,5.9,1,Nenhuma,Pix,5.9,2.2,3.7
1106,2025-01-02,Loja Oeste,Curitiba,Higiene e Limpeza,Desinfetante 2L,8.9,1,Nenhuma,Dinheiro,8.9,2.5,6.4
1107,2025-01-02,Loja Norte,São Paulo,Hortifruti,Maçã Gala kg,7.9,1,Nenhuma,Dinheiro,7.9,2.8,5.1
1108,2025-01-02,Loja Oeste,Curitiba,Mercearia,Arroz 5kg,22.9,2,Nenhuma,Débito,45.8,16.0,29.8
1109,2025-01-02,Loja Leste,Belo Horizonte,Hortifruti,Maçã Gala kg,7.9,2,Nenhuma,Pix,15.8,5.6,10.2
1110,2025-01-02,Loja Leste,Belo Horizonte,Bebidas,Refrigerante Lata 350ml,4.5,1,Nenhuma,Débito,4.5,2.0,2.5
1111,2025-01-02,Loja Sul,Rio de Janeiro,Higiene e Limpeza,Sabonete 90g,2.9,1,Nenhuma,Pix,2.9,0.5,2.4
1112,2025-01-02,Loja Oeste,Curitiba,Mercearia,Macarrão 500g,4.7,2,Nenhuma,Dinheiro,9.4,2.4,7.0
1113,2025-01-02,Loja Norte,São Paulo,Bebidas,Água Mineral 500ml,2.5,1,Leve 3 Pague 2,Débito,2.5,0.6,1.9
1114,2025-01-03,Loja Norte,São Paulo,Hortifruti,Tomate Italiano kg,6.17,2,Compre Junto,Dinheiro,12.34,4.0,8.34
1115,2025-01-03,Loja Centro,São Paulo,Frios e Laticínios,Queijo Mussarela 500g,19.9,1,Nenhuma,Crédito,19.9,8.5,11.4
1116,2025-01-03,Loja Oeste,Curitiba,Frios e Laticínios,Queijo Mussarela 500g,19.9,1,Nenhuma,Dinheiro,19.9,8.5,11.4
1117,2025-01-03,Loja Norte,São Paulo,Hortifruti,Banana Nanica kg,4.2,3,Nenhuma,Pix,12.6,4.5,8.1
1118,2025-01-03,Loja Leste,Belo Horizonte,Hortifruti,Tomate Italiano kg,6.5,1,Nenhuma,Pix,6.5,2.0,4.5
1119,2025-01-03,Loja Centro,São Paulo,Bebidas,Cerveja Lata 350ml,4.8,1,Nenhuma,Crédito,4.8,1.9,2.9
1120,2025-01-03,Loja Norte,São Paulo,Frios e Laticínios,Iogurte 170g,3.2,4,Nenhuma,Débito,12.8,3.2,9.6
1121,2025-01-03,Loja Centro,São Paulo,Higiene e Limpeza,Desinfetante 2L,8.9,2,Leve 3 Pague 2,Débito,17.8,5.0,12.8
1122,2025-01-03,Loja Oeste,Curitiba,Hortifruti,Batata kg,5.5,4,Nenhuma,Pix,22.0,5.2,16.8
1123,2025-01-03,Loja Sul,Rio de Janeiro,Higiene e Limpeza,Detergente 500ml,3.9,2,Leve 3 Pague 2,Débito,7.8,1.8,6.0
1124,2025-01-03,Loja Norte,São Paulo,Mercearia,Arroz 5kg,22.9,1,Nenhuma,Crédito,22.9,8.0,14.9
1125,2025-01-03,Loja Norte,São Paulo,Bebidas,Cerveja Lata 350ml,4.8,1,Nenhuma,Dinheiro,4.8,1.9,2.9
1126,2025-01-03,Loja Centro,São Paulo,Frios e Laticínios,Queijo Mussarela 500g,19.9,2,Leve 3 Pague 2,Pix,39.8,17.0,22.8
1127,2025-01-03,Loja Centro,São Paulo,Frios e Laticínios,Queijo Mussarela 500g,19.9,3,Nenhuma,Débito,59.7,25.5,34.2
1128,2025-01-03,Loja Leste,Belo Horizonte,Bebidas,Água Mineral 500ml,2.25,2,10%OFF,Débito,4.5,1.2,3.3
1129,2025-01-03,Loja Centro,São Paulo,Bebidas,Água Mineral 500ml,2.5,3,Nenhuma,Dinheiro,7.5,1.8,5.7
1130,2025-01-03,Loja Leste,Belo Horizonte,Bebidas,Cerveja Lata 350ml,4.8,2,Nenhuma,Dinheiro,9.6,3.8,5.8
1131,2025-01-03,Loja Oeste,Curitiba,Higiene e Limpeza,Desinfetante 2L,8.9,1,Nenhuma,Pix,8.9,2.5,6.4
1132,2025-01-03,Loja Sul,Rio de Janeiro,Higiene e Limpeza,Sabonete 90g,2.9,1,Nenhuma,Crédito,2.9,0.5,2.4
1133,2025-01-03,Loja Sul,Rio de Janeiro,Higiene e Limpeza,Detergente 500ml,3.9,3,Nenhuma,Pix,11.7,2.7,9.0
1134,2025-01-03,Loja Sul,Rio de Janeiro,Frios e Laticínios,Iogurte 170g,2.88,1,10%OFF,Crédito,2.88,0.8,2.08
1135,2025-01-03,Loja Leste,Belo Horizonte,Mercearia,Óleo de Soja 900ml,9.9,1,Nenhuma,Débito,9.9,4.0,5.9
1136,2025-01-03,Loja Sul,Rio de Janeiro,Hortifruti,Batata kg,4.95,1,10%OFF,Crédito,4.95,1.3,3.65
1137,2025-01-03,Loja Leste,Belo Horizonte,Bebidas,Suco 1L,7.9,1,Nenhuma,Pix,7.9,3.0,4.9
1138,2025-01-03,Loja Oeste,Curitiba,Bebidas,Cerveja Lata 350ml,4.8,1,Nenhuma,Dinheiro,4.8,1.9,2.9
1139,2025-01-03,Loja Oeste,Curitiba,Hortifruti,Batata kg,5.5,3,Nenhuma,Débito,16.5,3.9,12.6
1140,2025-01-03,Loja Sul,Rio de Janeiro,Hortifruti,Batata kg,5.22,1,Compre Junto,Débito,5.22,1.3,3.92
1141,2025-01-03,Loja Norte,São Paulo,Mercearia,Arroz 5kg,22.9,2,Nenhuma,Crédito,45.8,16.0,29.8
1142,2025-01-03,Loja Leste,Belo Horizonte,Bebidas,Água Mineral 500ml,2.5,1,Leve 3 Pague 2,Dinheiro,2.5,0.6,1.9
1143,2025-01-03,Loja Leste,Belo Horizonte,Hortifruti,Batata kg,5.5,1,Nenhuma,Pix,5.5,1.3,4.2
1144,2025-01-03,Loja Norte,São Paulo,Higiene e Limpeza,Papel Higiênico 12 rolos,19.9,3,Nenhuma,Pix,59.7,18.0,41.7
1145,2025-01-03,Loja Sul,Rio de Janeiro,Higiene e Limpeza,Sabonete 90g,2.9,3,Nenhuma,Dinheiro,8.7,1.5,7.2
1146,2025-01-03,Loja Oeste,Curitiba,Higiene e Limpeza,Desinfetante 2L,8.9,3,Nenhuma,Pix,26.7,7.5,19.2
1147,2025-01-03,Loja Sul,Rio de Janeiro,Mercearia,Óleo de Soja 900ml,9.9,1,Nenhuma,Débito,9.9,4.0,5.9
1148,2025-01-03,Loja Norte,São Paulo,Higiene e Limpeza,Desinfetante 2L,8.9,1,Leve 3 Pague 2,Crédito,8.9,2.5,6.4
1149,2025-01-03,Loja Sul,Rio de Janeiro,Hortifruti,Batata kg,5.5,1,Nenhuma,Débito,5.5,1.3,4.2
1150,2025-01-03,Loja Leste,Belo Horizonte,Bebidas,Água Mineral 500ml,2.5,2,Nenhuma,Crédito,5.0,1.2,3.8
1151,2025-01-03,Loja Leste,Belo Horizonte,Bebidas,Cerveja Lata 350ml,4.8,1,Nenhuma,Débito,4.8,1.9,2.9
1152,2025-01-03,Loja Centro,São Paulo,Hortifruti,Tomate Italiano kg,6.5,1,Nenhuma,Crédito,6.5,2.0,4.5
1153,2025-01-03,Loja Sul,Rio de Janeiro,Higiene e Limpeza,Desinfetante 2L,8.9,4,Nenhuma,Pix,35.6,10.0,25.6
1154,2025-01-03,Loja Oeste,Curitiba,Bebidas,Refrigerante Lata 350ml,4.5,1,Nenhuma,Dinheiro,4.5,2.0,2.5
1155,2025-01-03,Loja Norte,São Paulo,Bebidas,Cerveja Lata 350ml,3.84,5,Leve 3 Pague 2,Crédito,19.2,9.5,9.7
1156,2025-01-03,Loja Leste,Belo Horizonte,Frios e Laticínios,Iogurte 170g,3.2,1,Nenhuma,Dinheiro,3.2,0.8,2.4
1157,2025-01-03,Loja Centro,São Paulo,Mercearia,Macarrão 500g,4.7,1,Nenhuma,Pix,4.7,1.2,3.5
1158,2025-01-03,Loja Oeste,Curitiba,Frios e Laticínios,Leite 1L,5.9,1,Nenhuma,Pix,5.9,2.2,3.7
1159,2025-01-03,Loja Oeste,Curitiba,Frios e Laticínios,Queijo Mussarela 500g,19.9,4,Nenhuma,Pix,79.6,34.0,45.6
1160,2025-01-03,Loja Sul,Rio de Janeiro,Hortifruti,Tomate Italiano kg,5.85,2,10%OFF,Pix,11.7,4.0,7.7
1161,2025-01-03,Loja Sul,Rio de Janeiro,Higiene e Limpeza,Papel Higiênico 12 rolos,17.91,1,10%OFF,Dinheiro,17.91,6.0,11.91
1162,2025-01-03,Loja Leste,Belo Horizonte,Mercearia,Óleo de Soja 900ml,9.9,3,Nenhuma,Pix,29.7,12.0,17.7
1163,2025-01-03,Loja Leste,Belo Horizonte,Bebidas,Água Mineral 500ml,2.5,1,Nenhuma,Dinheiro,2.5,0.6,1.9
1164,2025-01-03,Loja Sul,Rio de Janeiro,Bebidas,Cerveja Lata 350ml,4.8,1,Nenhuma,Crédito,4.8,1.9,2.9
1165,2025-01-03,Loja Oeste,Curitiba,Hortifruti,Tomate Italiano kg,6.5,3,Nenhuma,Dinheiro,19.5,6.0,13.5
1166,2025-01-03,Loja Norte,São Paulo,Frios e Laticínios,Iogurte 170g,3.2,1,Leve 3 Pague 2,Débito,3.2,0.8,2.4
1167,2025-01-03,Loja Centro,São Paulo,Bebidas,Suco 1L,7.9,3,Nenhuma,Dinheiro,23.7,9.0,14.7
1168,2025-01-03,Loja Norte,São Paulo,Bebidas,Suco 1L,7.9,1,Nenhuma,Débito,7.9,3.0,4.9
1169,2025-01-03,Loja Norte,São Paulo,Higiene e Limpeza,Sabonete 90g,2.61,2,10%OFF,Débito,5.22,1.0,4.22
1170,2025-01-03,Loja Sul,Rio de Janeiro,Hortifruti,Tomate Italiano kg,6.5,2,Nenhuma,Crédito,13.0,4.0,9.0
1171,2025-01-03,Loja Leste,Belo Horizonte,Bebidas,Água Mineral 500ml,2.5,3,Nenhuma,Pix,7.5,1.8,5.7
1172,2025-01-03,Loja Oeste,Curitiba,Mercearia,Arroz 5kg,22.9,3,Nenhuma,Crédito,68.7,24.0,44.7
1173,2025-01-03,Loja Leste,Belo Horizonte,Mercearia,Macarrão 500g,4.23,2,10%OFF,Dinheiro,8.46,2.4,6.06
1174,2025-01-03,Loja Centro,São Paulo,Frios e Laticínios,Queijo Mussarela 500g,17.91,1,10%OFF,Dinheiro,17.91,8.5,9.41
1175,2025-01-03,Loja Oeste,Curitiba,Frios e Laticínios,Iogurte 170g,2.88,1,10%OFF,Dinheiro,2.88,0.8,2.08
1176,2025-01-03,Loja Leste,Belo Horizonte,Bebidas,Água Mineral 500ml,2.5,1,Nenhuma,Pix,2.5,0.6,1.9
1177,2025-01-03,Loja Centro,São Paulo,Bebidas,Água Mineral 500ml,2.5,3,Nenhuma,Pix,7.5,1.8,5.7
1178,2025-01-04,Loja Oeste,Curitiba,Hortifruti,Maçã Gala kg,7.9,3,Nenhuma,Pix,23.7,8.4,15.3
1179,2025-01-04,Loja Oeste,Curitiba,Hortifruti,Tomate Italiano kg,6.5,1,Nenhuma,Pix,6.5,2.0,4.5
1180,2025-01-04,Loja Leste,Belo Horizonte,Frios e Laticínios,Queijo Mussarela 500g,19.9,1,Nenhuma,Dinheiro,19.9,8.5,11.4
1181,2025-01-04,Loja Centro,São Paulo,Hortifruti,Tomate Italiano kg,6.5,1,Nenhuma,Pix,6.5,2.0,4.5
1182,2025-01-04,Loja Centro,São Paulo,Frios e Laticínios,Iogurte 170g,3.04,2,Compre Junto,Crédito,6.08,1.6,4.48
1183,2025-01-04,Loja Sul,Rio de Janeiro,Frios e Laticínios,Leite 1L,5.9,3,Nenhuma,Débito,17.7,6.6,11.1
1184,2025-01-04,Loja Oeste,Curitiba,Frios e Laticínios,Leite 1L,5.9,1,Nenhuma,Crédito,5.9,2.2,3.7
1185,2025-01-04,Loja Sul,Rio de Janeiro,Frios e Laticínios,Leite 1L,5.9,2,Leve 3 Pague 2,Crédito,11.8,4.4,7.4
1186,2025-01-04,Loja Centro,São Paulo,Frios e Laticínios,Leite 1L,5.9,1,Leve 3 Pague 2,Dinheiro,5.9,2.2,3.7
1187,2025-01-04,Loja Centro,São Paulo,Frios e Laticínios,Queijo Mussarela 500g,19.9,1,Leve 3 Pague 2,Crédito,19.9,8.5,11.4
1188,2025-01-04,Loja Centro,São Paulo,Hortifruti,Batata kg,5.5,3,Nenhuma,Crédito,16.5,3.9,12.6
